id,produto,quantidade,preco,data
156,Notebook Dell,1,1132.11,01/03/2023
157,Ventilador de coluna,2,2985.89,01/03/2023
158,Fone de ouvido bluetooth,1,2891.61,01/03/2023
159,Controle de videogame,2,1479.93,02/03/2023
160,Monitor de 24 polegadas,1,750.24,03/03/2023
161,Tablet Samsung,3,2002.05,03/03/2023
162,Smart TV 50 polegadas,5,1300.34,03/03/2023
163,Relógio smartwatch,2,484.22,04/03/2023
164,Cadeira gamer,2,2625.95,04/03/2023
165,Máquina de lavar roupa,1,2012.64,04/03/2023
166,Notebook Dell,1,2329.0,04/03/2023
167,Torradeira elétrica,2,2547.5,04/03/2023
168,Monitor de 24 polegadas,4,2598.93,05/03/2023
169,Relógio smartwatch,3,1261.48,05/03/2023
170,Geladeira duplex,4,1407.41,06/03/2023
171,Monitor de 24 polegadas,1,1022.14,07/03/2023
172,Liquidificador,1,183.37,08/03/2023
173,Churrasqueira elétrica,5,2288.4,09/03/2023
174,Geladeira duplex,3,1493.98,09/03/2023
175,Impressora multifuncional,4,1108.37,10/03/2023
176,Secador de cabelo,3,1457.69,11/03/2023
177,Cafeteira italiana,2,505.75,11/03/2023
178,Smartphone Xiaomi,3,2538.15,12/03/2023
179,Máquina de lavar roupa,1,2603.61,12/03/2023
180,Secador de cabelo,3,595.91,12/03/2023
181,Carregador portátil,1,1071.9,13/03/2023
182,Micro-ondas,2,2479.89,14/03/2023
183,Ferro de passar,3,2121.95,14/03/2023
184,Cafeteira italiana,3,1204.64,15/03/2023
185,Carregador portátil,5,1464.36,16/03/2023
186,Teclado mecânico,2,2404.16,17/03/2023
187,Ar-condicionado portátil,1,766.2,17/03/2023
188,Smart TV 50 polegadas,2,2478.28,17/03/2023
189,Caixa de som bluetooth,4,1524.4,17/03/2023
190,Micro-ondas,3,769.19,18/03/2023
191,Cafeteira italiana,3,226.24,19/03/2023
192,Mesa de escritório,4,444.14,20/03/2023
193,Aspirador vertical,2,2464.65,20/03/2023
194,Xbox Series X,3,1498.57,20/03/2023
195,Controle de videogame,5,1417.27,20/03/2023
196,Controle de videogame,2,2856.22,20/03/2023
197,Fone de ouvido bluetooth,5,199.12,21/03/2023
198,Máquina de lavar roupa,3,1261.59,21/03/2023
199,Micro-ondas,3,2680.17,21/03/2023
200,Fone de ouvido bluetooth,1,2296.79,22/03/2023
201,Cadeira gamer,3,1627.66,23/03/2023
202,Caixa de som bluetooth,2,123.96,23/03/2023
203,Ferro de passar,5,1688.21,24/03/2023
204,PlayStation 5,5,426.08,24/03/2023
205,Churrasqueira elétrica,2,2600.34,24/03/2023
206,Smartphone Xiaomi,1,513.82,24/03/2023
207,Teclado mecânico,1,2414.59,25/03/2023
208,Ventilador de coluna,5,2286.03,25/03/2023
209,Fogão de embutir,3,2943.81,25/03/2023
210,Fogão de embutir,5,1652.34,26/03/2023
211,Mesa de escritório,2,652.42,26/03/2023
212,Impressora multifuncional,5,148.5,27/03/2023
213,Churrasqueira elétrica,4,2992.35,27/03/2023
214,Carregador portátil,2,2128.11,27/03/2023
215,Smartphone Xiaomi,4,1788.66,27/03/2023
216,Tablet Samsung,2,682.54,27/03/2023
217,Smart TV 50 polegadas,2,388.8,28/03/2023
218,Torradeira elétrica,3,2152.56,28/03/2023
219,Cadeira gamer,1,2964.42,28/03/2023
220,Ar-condicionado portátil,3,2305.46,29/03/2023
221,Luminária LED,2,2840.01,29/03/2023
222,Aspirador vertical,4,2664.69,30/03/2023
223,Luminária LED,4,2635.31,31/03/2023
224,Caixa de som bluetooth,2,327.49,31/03/2023
225,Teclado mecânico,2,1901.37,31/03/2023
